Entry	UniProt Link	Entry Name	Organism	Recommended name	Alternative names	Gene Names
A0A1Y0BRF8	https://www.uniprot.org/uniprotkb/A0A1Y0BRF8	ADRF_PENRO	Penicillium roqueforti	Short chain dehydrogenase adrF (EC 1.1.1.-)	Andrastin A biosynthesis cluster protein F (EC 1.1.1.-)	adrF
A0A1Y0BRF9	https://www.uniprot.org/uniprotkb/A0A1Y0BRF9	ADRH_PENRO	Penicillium roqueforti	FAD-dependent monooxygenase adrH (EC 1.-.-.-)	Andrastin A biosynthesis cluster protein H (EC 1.-.-.-)	adrH
A0A1Y0BRG0	https://www.uniprot.org/uniprotkb/A0A1Y0BRG0	ADRK_PENRO	Penicillium roqueforti	Methyltransferase adrK (EC 2.1.3.-)	Andrastin A biosynthesis cluster protein K (EC 2.1.3.-)	adrK
A0A1Y1C7Q5	https://www.uniprot.org/uniprotkb/A0A1Y1C7Q5	QNN1_EMEVA	Emericella variicolor (Aspergillus stellatus)	Quiannulatene synthase (QS) (Bifunctional sesterterpene synthase EvQS) (Quiannulatic acid biosynthesis cluster protein EvQS) (EC 4.2.3.-)	QS (EC 2.5.1.29); Bifunctional sesterterpene synthase EvQS (EC 2.5.1.29); Quiannulatic acid biosynthesis cluster protein EvQS (EC 2.5.1.29); Geranylgeranyl diphosphate synthase (EC 2.5.1.29); GGDP synthase (EC 2.5.1.29); GGS (EC 2.5.1.29)	EvQS
A0A1Y1C7S2	https://www.uniprot.org/uniprotkb/A0A1Y1C7S2	QNN2_EMEVA	Emericella variicolor (Aspergillus stellatus)	Quiannulatic acid synthase (EC 1.-.-.-)	Cytochrome P450 monooxygenase Qnn-P450 (EC 1.-.-.-); Quiannulatic acid biosynthesis cluster protein Qnn-P450 (EC 1.-.-.-)	Qnn-P450
A0A1Z3GBK8	https://www.uniprot.org/uniprotkb/A0A1Z3GBK8	KSL4_ISORU	Isodon rubescens (Rabdosia rubescens)	Ent-atiserene synthase KSL4, chloroplastic (EC 4.2.3.185)	Kaurene synthase 4 (EC 4.2.3.185); IrKSL4 (EC 4.2.3.185)	KSL4
A0A1Z3GC64	https://www.uniprot.org/uniprotkb/A0A1Z3GC64	KSL5_ISORU	Isodon rubescens (Rabdosia rubescens)	Ent-kaurene synthase 5, chloroplastic (IrKSL5) (EC 4.2.3.19)	IrKSL5 (EC 4.2.3.19)	KSL5
A0A1Z3GCD1	https://www.uniprot.org/uniprotkb/A0A1Z3GCD1	KSL6_ISORU	Isodon rubescens (Rabdosia rubescens)	Isopimaradiene synthase (EC 4.2.3.-)	Kaurene synthase 6 (EC 4.2.3.-); IrKSL6 (EC 4.2.3.-)	KSL6
A0A284RNH4	https://www.uniprot.org/uniprotkb/A0A284RNH4	PRO1_ARMOS	Armillaria ostoyae (Armillaria root rot fungus)	Delta(6)-protoilludene synthase (EC 4.2.3.135)	Melleolides biosynthesis cluster protein PRO1 (EC 4.2.3.135)	PRO1
A0A291LSD6	https://www.uniprot.org/uniprotkb/A0A291LSD6	TPS21_MAIZE	Zea mays (Maize)	Beta-selinene synthase (EC 4.2.3.66)	Terpene synthase 21 (EC 4.2.3.66); ZmTps21 (EC 4.2.3.66)	TPS21
A0A291SJC7	https://www.uniprot.org/uniprotkb/A0A291SJC7	IAFRS_STRMQ	Streptomyces malaysiensis	Isoafricanol synthase (EC 4.2.3.157)		
A0A2B7YDW3	https://www.uniprot.org/uniprotkb/A0A2B7YDW3	POLA_POLH7	Polytolypa hystricis (strain UAMH7299)	Triterpene cyclase polA (EC 5.4.99.-)	Polytolypin biosynthesis cluster protein A (EC 5.4.99.-)	polA
A0A2I1BSU0	https://www.uniprot.org/uniprotkb/A0A2I1BSU0	NVFH_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Chermesin D/asnovolin J monooxidase nvfH (EC 1.14.-.-)	Baeyer-Villiger monooxygenase nvfH (EC 1.14.-.-); Novofumigatonin biosynthesis cluster protein H (EC 1.14.-.-)	nvfH
A0A2I1BSV1	https://www.uniprot.org/uniprotkb/A0A2I1BSV1	NVFK_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	FAD-dependent monooxygenase nvfK (EC 1.14.-.-)	Farnesyl-DMOA epoxidase nvfK (EC 1.14.-.-); Novofumigatonin biosynthesis cluster protein K (EC 1.14.-.-)	nvfK
A0A2I1BSV7	https://www.uniprot.org/uniprotkb/A0A2I1BSV7	NVFJ_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Asnovolin E/Chermesin D methyltransferase nvfJ (EC 2.1.1.-)	Novofumigatonin biosynthesis cluster protein J (EC 2.1.1.-)	nvfJ
A0A2I1BSV9	https://www.uniprot.org/uniprotkb/A0A2I1BSV9	NVFA_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Non-reducing polyketide synthase nvfA (EC 2.3.1.-)	Novofumigatonin biosynthesis cluster protein A (EC 2.3.1.-)	nvfA
A0A2I1BSW0	https://www.uniprot.org/uniprotkb/A0A2I1BSW0	NVFM_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Asnovolin J 5',6'-dehydrogenase nvfM (EC 1.3.99.-)	Novofumigatonin biosynthesis cluster protein M (EC 1.3.99.-)	nvfM
A0A2I1BSW6	https://www.uniprot.org/uniprotkb/A0A2I1BSW6	NVFE_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Fumigatonoid B endoperoxide isomerase nvfE (EC 5.4.99.-)	Novofumigatonin biosynthesis cluster protein E (EC 5.4.99.-)	nvfE
A0A2I1BSW8	https://www.uniprot.org/uniprotkb/A0A2I1BSW8	NVFC_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Asnovolin H dehydrogenase nvfC (EC 1.1.99.-)	Novofumigatonin biosynthesis cluster protein C (EC 1.1.99.-); Short chain dehydrogenase nvfC (EC 1.1.99.-)	nvfC
A0A2I1BSX0	https://www.uniprot.org/uniprotkb/A0A2I1BSX0	NVFI_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Fe(II)/2-oxoglutarate-dependent dioxygenase nvfI (EC 1.14.11.-)	II (EC 1.14.11.-); Fumigatonoid A synthase nvfI (EC 1.14.11.-); Novofumigatonin biosynthesis cluster protein I (EC 1.14.11.-)	nvfI
A0A2I1BSZ6	https://www.uniprot.org/uniprotkb/A0A2I1BSZ6	NVFF_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Fe(II)/2-oxoglutarate-dependent dioxygenase nvfF (EC 1.14.11.-)	II (EC 1.14.11.-); Novofumigatoninbiosynthesis cluster protein F (EC 1.14.11.-)	nvfF
A0A2I1BT01	https://www.uniprot.org/uniprotkb/A0A2I1BT01	NVFL_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Asnovolin H synthase nvfL (EC 5.4.99.-)	Novofumigatonin biosynthesis cluster protein L (EC 5.4.99.-); Terpene cyclase nvfL (EC 5.4.99.-)	nvfL
A0A2I1BT09	https://www.uniprot.org/uniprotkb/A0A2I1BT09	NVFB_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	DMOA farnesyltransferase nvfB (EC 2.5.1.-)	Novofumigatonin biosynthesis cluster protein B (EC 2.5.1.-)	nvfB
A0A2I1BT15	https://www.uniprot.org/uniprotkb/A0A2I1BT15	NVFD_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Alpha/beta hydrolase nvfD (EC 3.1.1.-)	Novofumigatonin biosynthesis cluster protein D (EC 3.1.1.-)	nvfD
A0A2I1BT56	https://www.uniprot.org/uniprotkb/A0A2I1BT56	NVFG_ASPN1	Aspergillus novofumigatus (strain IBT 16806)	Ketoreductase nvfG (EC 1.-.-.-)	Novofumigatonin biosynthesis cluster protein G (EC 1.-.-.-)	nvfG
A0A2I6PIZ1	https://www.uniprot.org/uniprotkb/A0A2I6PIZ1	NODX_HYPPI	Hypoxylon pulicicidum	Acetyl-coenzyme A transferase nodX (EC 2.-.-.-)	Nodulisporic acid biosynthesis cluster protein X (EC 2.-.-.-)	nodX
A0A2I6PIZ2	https://www.uniprot.org/uniprotkb/A0A2I6PIZ2	NODM_HYPPI	Hypoxylon pulicicidum	FAD-dependent monooxygenase nodM (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein M (EC 1.-.-.-)	nodM
A0A2I6PIZ6	https://www.uniprot.org/uniprotkb/A0A2I6PIZ6	NODD2_HYPPI	Hypoxylon pulicicidum	Indole diterpene prenyltransferase nodD2 (EC 2.5.1.-)	Nodulisporic acid biosynthesis cluster protein D2 (EC 2.5.1.-)	nodD2
A0A2I6PIZ7	https://www.uniprot.org/uniprotkb/A0A2I6PIZ7	NODD1_HYPPI	Hypoxylon pulicicidum	Indole diterpene prenyltransferase nodD1 (EC 2.5.1.-)	Nodulisporic acid biosynthesis cluster protein D1 (EC 2.5.1.-)	nodD1
A0A2I6PIZ8	https://www.uniprot.org/uniprotkb/A0A2I6PIZ8	NODY2_HYPPI	Hypoxylon pulicicidum	FAD-dependent monooxygenase nodY2 (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein Y2 (EC 1.-.-.-)	nodY2
A0A2I6PIZ9	https://www.uniprot.org/uniprotkb/A0A2I6PIZ9	NODZ_HYPPI	Hypoxylon pulicicidum	Cytochrome P450 monooxygenase nodZ (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein Z (EC 1.-.-.-)	nodZ
A0A2I6PJ00	https://www.uniprot.org/uniprotkb/A0A2I6PJ00	NODJ_HYPPI	Hypoxylon pulicicidum	Cytochrome P450 monooxygenase nodJ (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein J (EC 1.-.-.-)	nodJ
A0A2I6PJ01	https://www.uniprot.org/uniprotkb/A0A2I6PJ01	NODY1_HYPPI	Hypoxylon pulicicidum	FAD-dependent monooxygenase nodY1 (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein Y1 (EC 1.-.-.-)	nodY1
A0A2I6PJ02	https://www.uniprot.org/uniprotkb/A0A2I6PJ02	NODO_HYPPI	Hypoxylon pulicicidum	FAD-linked oxidoreductase nodO (EC 1.1.1.-)	Nodulisporic acid biosynthesis cluster protein O (EC 1.1.1.-)	nodO
A0A2I6PJ07	https://www.uniprot.org/uniprotkb/A0A2I6PJ07	NODB_HYPPI	Hypoxylon pulicicidum	Terpene cyclase nodB (EC 4.2.3.-)	Nodulisporic acid biosynthesis cluster protein B (EC 4.2.3.-)	nodB
A0A2I6PJ08	https://www.uniprot.org/uniprotkb/A0A2I6PJ08	NODW_HYPPI	Hypoxylon pulicicidum	Cytochrome P450 monooxygenase nodW (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein W (EC 1.-.-.-)	nodW
A0A2I6PJ12	https://www.uniprot.org/uniprotkb/A0A2I6PJ12	NODR_HYPPI	Hypoxylon pulicicidum	Cytochrome P450 monooxygenase nodR (EC 1.-.-.-)	Nodulisporic acid biosynthesis cluster protein R (EC 1.-.-.-)	nodR
A0A2I6PJ13	https://www.uniprot.org/uniprotkb/A0A2I6PJ13	NODC_HYPPI	Hypoxylon pulicicidum	Prenyl transferase nodC (EC 2.5.1.-)	Nodulisporic acid biosynthesis cluster protein C (EC 2.5.1.-)	nodC
A0A2K9RFY0	https://www.uniprot.org/uniprotkb/A0A2K9RFY0	TPS4_VITAC	Vitex agnus-castus (Chaste tree)	Ent-kaurene synthase TSP4, chloroplastic (EC 4.2.3.19)	Terpene synthase 4 (EC 4.2.3.19); VacTPS4 (EC 4.2.3.19)	TPS4
A0A2K9RFZ2	https://www.uniprot.org/uniprotkb/A0A2K9RFZ2	TPS2_VITAC	Vitex agnus-castus (Chaste tree)	Class I diterpene synthase 2, chloroplastic (VacTPS2) ((13S)-vitexifolin A synthase) (EC 4.2.3.-)	VacTPS2 (EC 4.2.3.189); (13S)-vitexifolin A synthase (EC 4.2.3.-); 9,13-epoxylabda-14-ene synthase (EC 4.2.3.-); Viteagnusin D synthase (EC 4.2.3.-)	TPS2
A0A2K9RFZ7	https://www.uniprot.org/uniprotkb/A0A2K9RFZ7	TPS1_VITAC	Vitex agnus-castus (Chaste tree)	Peregrinol diphosphate synthase TPS1, chloroplastic (EC 4.2.1.174)	Terpene synthase 1 (EC 4.2.1.174); VacTPS1 (EC 4.2.1.174)	TPS1
A0A2K9RFZ8	https://www.uniprot.org/uniprotkb/A0A2K9RFZ8	TPS3_VITAC	Vitex agnus-castus (Chaste tree)	Syn-copalyl diphosphate synthase TPS3, chloroplastic (EC 5.5.1.14)	Terpene synthase 3 (EC 5.5.1.14); VacTPS3 (EC 5.5.1.14)	TPS3
A0A2K9RFZ9	https://www.uniprot.org/uniprotkb/A0A2K9RFZ9	TPS6_VITAC	Vitex agnus-castus (Chaste tree)	Class I diterpene synthase TPS6, chloroplastic (Labd-13(16),14-diene-9-ol synthase) (EC 4.2.3.-)	Labd-13(16),14-diene-9-ol synthase (EC 4.2.3.-); Syn-isopimara-7,15-diene synthase (EC 4.2.3.-); Terpene synthase 6 (EC 4.2.3.-); VacTPS6 (EC 4.2.3.-)	TPS6
A0A2K9RG07	https://www.uniprot.org/uniprotkb/A0A2K9RG07	TPS5_VITAC	Vitex agnus-castus (Chaste tree)	Kolavenyl diphosphate synthase TPS5, chloroplastic (EC 5.5.1.29)	Terpene synthase 5 (EC 5.5.1.29); VacTPS5 (EC 5.5.1.29)	TPS5
A0A2L0VXR0	https://www.uniprot.org/uniprotkb/A0A2L0VXR0	PLE3_CLIPA	Clitopilus passeckerianus (Pleurotus passeckerianus)	Bifunctional premutilin synthase (PS) (EC 5.5.1.-)	PS (EC 4.2.3.-)	PS
A0A2P1DP74	https://www.uniprot.org/uniprotkb/A0A2P1DP74	MACJ_PENTR	Penicillium terrestre	Terpene cyclase macJ (EC 4.2.3.-)	Macrophorins biosynthesis cluster protein J (EC 4.2.3.-)	macJ
A0A2P1DP75	https://www.uniprot.org/uniprotkb/A0A2P1DP75	MACI_PENTR	Penicillium terrestre	O-Mevalon transferase macI (EC 2.-.-.-)	Macrophorins biosynthesis cluster protein I (EC 2.-.-.-)	macI
A0A2P1DP77	https://www.uniprot.org/uniprotkb/A0A2P1DP77	MACD_PENTR	Penicillium terrestre	Short chain dehydrogenase macD (EC 1.1.1.-)	Macrophorins biosynthesis cluster protein D (EC 1.1.1.-)	macD
A0A2P1DP82	https://www.uniprot.org/uniprotkb/A0A2P1DP82	MACE_PENTR	Penicillium terrestre	Oxidoreductase macE (EC 1.-.-.-)	Macrophorins biosynthesis cluster protein E (EC 1.-.-.-)	macE
A0A2P1DP87	https://www.uniprot.org/uniprotkb/A0A2P1DP87	MACG_PENTR	Penicillium terrestre	Polyprenyl transferase macG (EC 2.5.1.-)	Macrophorins biosynthesis cluster protein G (EC 2.5.1.-)	macG
A0A2P1DP89	https://www.uniprot.org/uniprotkb/A0A2P1DP89	MACR_PENTR	Penicillium terrestre	Transcription factor macR	Macrophorins biosynthesis cluster protein R	macR
A0A2P1DP90	https://www.uniprot.org/uniprotkb/A0A2P1DP90	MACB_PENTR	Penicillium terrestre	Decarboxylase macB (EC 4.1.1.52)	Macrophorins biosynthesis cluster protein B (EC 4.1.1.52)	macB
A0A2P1DP91	https://www.uniprot.org/uniprotkb/A0A2P1DP91	MACA_PENTR	Penicillium terrestre	6-methylsalicylic acid synthase (6MSAS) (EC 2.3.1.165)	6MSAS (EC 2.3.1.165); Macrophorins biosynthesis cluster protein A (EC 2.3.1.165); Non-reducing polyketide synthase macA (EC 2.3.1.165)	macA
A0A2P1DP94	https://www.uniprot.org/uniprotkb/A0A2P1DP94	MACC_PENTR	Penicillium terrestre	Cytochrome P450 monooxygenase macC (EC 1.-.-.-)	Macrophorins biosynthesis cluster protein C (EC 1.-.-.-)	macC
A0A2P1DP98	https://www.uniprot.org/uniprotkb/A0A2P1DP98	MACF_PENTR	Penicillium terrestre	FAD-dependent monooxygenase macF (EC 1.-.-.-)	Macrophorins biosynthesis cluster protein F (EC 1.-.-.-)	macF
A0A2P1DPA5	https://www.uniprot.org/uniprotkb/A0A2P1DPA5	MACH_PENTR	Penicillium terrestre	Cytochrome P450 monooxygenase macH (EC 1.-.-.-)	Macrophorins biosynthesis cluster protein H (EC 1.-.-.-)	macH
A0A2P2GK84	https://www.uniprot.org/uniprotkb/A0A2P2GK84	DMS_STREW	Streptomyces showdoensis	Drimenyl diphosphate synthase (DMS) (EC 5.4.99.-)	DMS (EC 5.4.99.-)	
A0A2R4QKX7	https://www.uniprot.org/uniprotkb/A0A2R4QKX7	TPS3_PIPNI	Piper nigrum (Black pepper)	Terpene synthase 3 (PnTPS3) (Copaene synthase) (PnCop) (EC 4.2.3.133)	PnTPS3 (EC 4.2.3.-); Copaene synthase (EC 4.2.3.-); PnCop (EC 4.2.3.-); Germacrene D synthase (EC 4.2.3.-); PnGDS (EC 4.2.3.-)	TPS3
A0A2U8U2K8	https://www.uniprot.org/uniprotkb/A0A2U8U2K8	ASL5_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Oxidoreductase asL5 (EC 1.1.1.-)	Xenovulene A biosynthesis cluster protein L5 (EC 1.1.1.-)	asL5
A0A2U8U2L0	https://www.uniprot.org/uniprotkb/A0A2U8U2L0	ASL6_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	FAD-dependent monooxygenase asL6 (EC 1.14.13.-)	Xenovulene A biosynthesis cluster protein L6 (EC 1.14.13.-)	asL6
A0A2U8U2L2	https://www.uniprot.org/uniprotkb/A0A2U8U2L2	ASL2_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Xenovulene A biosynthesis cluster protein asL2		asL2
A0A2U8U2L3	https://www.uniprot.org/uniprotkb/A0A2U8U2L3	ASL3_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	2-oxoglutarate-dependent dioxygenase asL3 (EC 1.14.-.-)	Xenovulene A biosynthesis cluster protein L3 (EC 1.14.-.-)	asL3
A0A2U8U2L4	https://www.uniprot.org/uniprotkb/A0A2U8U2L4	ASL4_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	FAD-dependent monooxygenase asL4 (EC 1.14.13.-)	Xenovulene A biosynthesis cluster protein L4 (EC 1.14.13.-)	asL4
A0A2U8U2L5	https://www.uniprot.org/uniprotkb/A0A2U8U2L5	ASR6_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Alpha-humulene synthase asR6 (EC 4.2.3.104)	Xenovulene A biosynthesis cluster protein R6 (EC 4.2.3.104)	asR6
A0A2U8U2L6	https://www.uniprot.org/uniprotkb/A0A2U8U2L6	ASL1_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Salicylate hydroxylase asL1 (EC 1.-.-.-)	FAD-dependent monooxygenase asL1 (EC 1.-.-.-); Xenovulene A biosynthesis cluster protein L1 (EC 1.-.-.-)	asL1
A0A2U8U2M1	https://www.uniprot.org/uniprotkb/A0A2U8U2M1	ASR5_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Putative hetero-Diels-Alderase asR5 (EC 5.5.-.-)	Xenovulene A biosynthesis cluster protein R5 (EC 5.5.-.-)	asR5
A0A2U8U2M8	https://www.uniprot.org/uniprotkb/A0A2U8U2M8	ASR2_SARSH	Sarocladium schorii (Acremonium strictum (strain IMI 501407))	Cytochrome P450 monooxygenase asR2 (EC 1.-.-.-)	Xenovulene A biosynthesis cluster protein R2 (EC 1.-.-.-)	asR2
A0A2Z4HPY0	https://www.uniprot.org/uniprotkb/A0A2Z4HPY0	EFUG_HORCR	Hormonema carpetanum	Cytochrome P450 monooxygenase efuG (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein G (EC 1.-.-.-)	efuG
A0A2Z4HPY4	https://www.uniprot.org/uniprotkb/A0A2Z4HPY4	EFUA_HORCR	Hormonema carpetanum	Enfumafungin synthase efuA (Enfumafungin biosynthesis cluster protein A) (Terpene cyclase-glycosyl transferase fusion protein efuA) (EC 5.4.99.-)	Enfumafungin biosynthesis cluster protein A (EC 2.4.1.-); Terpene cyclase-glycosyl transferase fusion protein efuA (EC 2.4.1.-)	efuA
A0A2Z4HPY5	https://www.uniprot.org/uniprotkb/A0A2Z4HPY5	EFUC_HORCR	Hormonema carpetanum	Acetyltransferase efuC (EC 2.3.1.-)	Enfumafungin biosynthesis cluster protein C (EC 2.3.1.-)	efuC
A0A2Z4HPZ0	https://www.uniprot.org/uniprotkb/A0A2Z4HPZ0	EFUH_HORCR	Hormonema carpetanum	Cytochrome P450 monooxygenase efuH (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein H (EC 1.-.-.-)	efuH
A0A2Z4HPZ5	https://www.uniprot.org/uniprotkb/A0A2Z4HPZ5	EFUL_HORCR	Hormonema carpetanum	Reductase efuL (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein L (EC 1.-.-.-)	efuL
A0A2Z4HPZ6	https://www.uniprot.org/uniprotkb/A0A2Z4HPZ6	EFUE_HORCR	Hormonema carpetanum	Dehydrogenase efuE (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein E (EC 1.-.-.-)	efuE
A0A2Z4HPZ7	https://www.uniprot.org/uniprotkb/A0A2Z4HPZ7	EFUB_HORCR	Hormonema carpetanum	Cytochrome P450 monooxygenase efuB (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein B (EC 1.-.-.-)	efuB
A0A2Z4HPZ8	https://www.uniprot.org/uniprotkb/A0A2Z4HPZ8	EFUI_HORCR	Hormonema carpetanum	Hydroxylase/desaturase efuI (EC 1.-.-.-)	Enfumafungin biosynthesis cluster protein I (EC 1.-.-.-)	efuI
A0A2Z6AQX6	https://www.uniprot.org/uniprotkb/A0A2Z6AQX6	PVPS_TALVE	Talaromyces verruculosus (Penicillium verruculosum)	Preasperterpenoid A synthase PvPS (Bifunctional sesterterpene synthase PvPS) (PS) (EC 4.2.3.-)	Bifunctional sesterterpene synthase PvPS (EC 2.5.1.29); PS (EC 2.5.1.81); GGDP synthase (EC 2.5.1.81); GGS (EC 2.5.1.81); GFDP synthase (EC 2.5.1.81)	PvPS
A0A2Z6AQX7	https://www.uniprot.org/uniprotkb/A0A2Z6AQX7	PBSS_PENBI	Penicillium brasilianum	Sesterbrasiliatriene synthase PbSS (Bifunctional sesterterpene synthase PbSS) (SS) (EC 4.2.3.-)	Bifunctional sesterterpene synthase PbSS (EC 2.5.1.29); SS (EC 2.5.1.81); GGDP synthase (EC 2.5.1.81); GGS (EC 2.5.1.81); GFDP synthase (EC 2.5.1.81)	PbSS
A0A2Z6E8J2	https://www.uniprot.org/uniprotkb/A0A2Z6E8J2	SPDQ_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	Cytochrome P450 monooxygenase spdQ (EC 1.-.-.-)	Sespendole biosynthesis cluster protein Q (EC 1.-.-.-)	spdQ
A0A2Z6E8J6	https://www.uniprot.org/uniprotkb/A0A2Z6E8J6	SPDM_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	FAD-dependent monooxygenase spdM (EC 1.-.-.-)	Sespendole biosynthesis cluster protein M (EC 1.-.-.-)	spdM
A0A2Z6E914	https://www.uniprot.org/uniprotkb/A0A2Z6E914	SPDH_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	Oxidoreductase spdH (EC 1.-.-.-)	Sespendole biosynthesis cluster protein H (EC 1.-.-.-)	spdH
A0A2Z6E917	https://www.uniprot.org/uniprotkb/A0A2Z6E917	SPDB_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	Terpene cyclase spdB (EC 4.2.3.-)	Sespendole biosynthesis cluster protein B (EC 4.2.3.-)	spdB
A0A2Z6E9B9	https://www.uniprot.org/uniprotkb/A0A2Z6E9B9	SPDE_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	Multifunctional aromatic prenyl transferase spdE (Sespendole biosynthesis cluster protein E) (EC 2.5.1.-)	Sespendole biosynthesis cluster protein E (EC 2.5.1.-)	spdE
A0A2Z6E9C0	https://www.uniprot.org/uniprotkb/A0A2Z6E9C0	SPDJ_CORTS	Cordana terrestris (Pseudobotrytis terrestris)	Cytochrome P450 monooxygenase spdJ (EC 1.-.-.-)	Sespendole biosynthesis cluster protein J (EC 1.-.-.-)	spdJ
A0A2Z6FZ19	https://www.uniprot.org/uniprotkb/A0A2Z6FZ19	BTCB_NEOBT	Neocamarosporium betae (Beet black rot fungus) (Pleospora betae)	Cytochrome P450 monooxygenase btcB (EC 1.-.-.-)	Betaestacins biosynthesis cluster protein B (EC 1.-.-.-)	btcB
A0A2Z6FZ20	https://www.uniprot.org/uniprotkb/A0A2Z6FZ20	BTCC_NEOBT	Neocamarosporium betae (Beet black rot fungus) (Pleospora betae)	Cytochrome P450 monooxygenase btcC (EC 1.-.-.-)	Betaestacins biosynthesis cluster protein C (EC 1.-.-.-)	btcC
A0A2Z6FZ31	https://www.uniprot.org/uniprotkb/A0A2Z6FZ31	BTCA_NEOBT	Neocamarosporium betae (Beet black rot fungus) (Pleospora betae)	Sesterterpene synthase btcA (TS) (Betaestacins biosynthesis cluster protein A) (EC 4.2.3.-)	TS (EC 2.5.1.29); Betaestacins biosynthesis cluster protein A (EC 2.5.1.81); GGDP synthase (EC 2.5.1.81); GGS (EC 2.5.1.81); GFDP synthase (EC 2.5.1.81)	btcA
A0A2Z6FZX4	https://www.uniprot.org/uniprotkb/A0A2Z6FZX4	BTCD_NEOBT	Neocamarosporium betae (Beet black rot fungus) (Pleospora betae)	Alpha-ketoglutarate-dependent dioxygenase btcD (EC 1.14.11.-)	Betaestacins biosynthesis cluster protein D (EC 1.14.11.-)	btcD
A0A343W969	https://www.uniprot.org/uniprotkb/A0A343W969	TPS_MURHI	Murgantia histrionica (Harlequin bug)	Sesquiterpene alcohol synthase (MhTPS) (EC 2.5.1.-)	MhTPS (EC 2.5.1.-)	TPS
A0A343W970	https://www.uniprot.org/uniprotkb/A0A343W970	FPPS_MURHI	Murgantia histrionica (Harlequin bug)	Farnesyl pyrophosphate synthase (MhFPPS) (MhIDS-2) (EC 2.5.1.10)	MhFPPS (EC 2.5.1.10); MhIDS-2 (EC 2.5.1.10)	FPPS
A0A345BJQ0	https://www.uniprot.org/uniprotkb/A0A345BJQ0	CLZ20_COCLU	Cochliobolus lunatus (Filamentous fungus) (Curvularia lunata)	Squalene synthase clz20 (SQS clz20) (SS clz20) (EC 2.5.1.21)	SQS clz20 (EC 2.5.1.21); SS clz20 (EC 2.5.1.21); Squalestatin S1 biosynthesis cluster protein clz20 (EC 2.5.1.21); Zaragozic acid A biosynthesis cluster protein 20 (EC 2.5.1.21)	clz20
A0A348AUV5	https://www.uniprot.org/uniprotkb/A0A348AUV5	TPS1A_CAMHI	Camellia hiemalis (Camellia)	Valerianol synthase TPS1A (EC 4.2.3.204)	Terpene synthase 1 (EC 4.2.3.204); ChTPS1 (EC 4.2.3.204); Terpene synthase 1a (EC 4.2.3.204); ChTps1a (EC 4.2.3.204)	TPS1A
A0A348AUV6	https://www.uniprot.org/uniprotkb/A0A348AUV6	TPS1B_CAMHI	Camellia hiemalis (Camellia)	Valerianol synthase TPS1B (EC 4.2.3.204)	Terpene synthase 1b (EC 4.2.3.204); ChTps1b (EC 4.2.3.204)	TPS1B
A0A348AUV7	https://www.uniprot.org/uniprotkb/A0A348AUV7	TPS1C_CAMHI	Camellia hiemalis (Camellia)	Valerianol synthase TPS1C (EC 4.2.3.204)	Terpene synthase 1c (EC 4.2.3.204); ChTps1c (EC 4.2.3.204)	TPS1C
A0A348AUV9	https://www.uniprot.org/uniprotkb/A0A348AUV9	TPS1E_CAMHI	Camellia hiemalis (Camellia)	Valerianol synthase TPS1E (EC 4.2.3.204)	Terpene synthase 1e (EC 4.2.3.204); ChTps1e (EC 4.2.3.204)	TPS1E
